,Product Name,New Price,Previous Price,Discount Percentage,Discount,Availability,Product URL,Product Image Link
0,Joyroom 15W Ultra-Thin Fast Magnetic Wireless Charger (JR-A28),2849.0,3299.0,14.0,461.86, True, https://priceoye.pk/wireless-chargers/joyroom/joyroom-15w-ultra-thin-fast-magnetic-wireless-charger-jr-a28, https://images.priceoye.pk/joyroom-15w-ultra-thin-fast-magnetic-wireless-charger-jr-a28-pakistan-priceoye-ahgje-270x270.webp
1,Joyroom Iwatch Magnetic Wireless Charger (S-IW003S),1799.0,2149.0,16.0,343.84, True, https://priceoye.pk/wireless-chargers/joyroom/joyroom-iwatch-magnetic-wireless-charger-s-iw003s, https://images.priceoye.pk/joyroom-iwatch-magnetic-wireless-charger-s-iw003s-pakistan-priceoye-u4ryd-270x270.webp
2,Joyroom Iwatch Magnetic Wireless Charger (S-IW001S),1949.0,2299.0,15.0,344.85, True, https://priceoye.pk/wireless-chargers/joyroom/joyroom-iwatch-magnetic-wireless-charger-s-iw001s, https://images.priceoye.pk/joyroom-i-watch-magnetic-charger-s-iw001s-pakistan-priceoye-9l2w6-270x270.webp
3,Joyroom Iwatch Magnetic Wireless Charger (S-IW002S),2449.0,2849.0,14.0,398.86, True, https://priceoye.pk/wireless-chargers/joyroom/joyroom-iwatch-magnetic-wireless-charger-s-iw002s, https://images.priceoye.pk/joyroom-iwatch-magnetic-wireless-charger-s-iw002s-pakistan-priceoye-5ysfl-270x270.webp
4,Joyroom 15W Square Wireless Charger (JR-A23),3099.0,3999.0,23.0,919.77, True, https://priceoye.pk/wireless-chargers/joyroom/joyroom-15w-square-wireless-charger-jr-a23, https://images.priceoye.pk/joyroom-15w-square-wireless-charger-jr-a23-pakistan-priceoye-rwh5s-270x270.webp
5,Samsung Wireless Charger Pad (P1300),4499.0,,,, True, https://priceoye.pk/wireless-chargers/samsung/wireless-charger-pad-p1300, https://images.priceoye.pk/wireless-charger-pad-p1300-pakistan-priceoye-w80nv-270x270.webp
6,Baseus Simple 2in1 Wireless Charger (18W),3599.0,,,, True, https://priceoye.pk/wireless-chargers/baseus/baseus-simple-2-in1-wireless-charger-18w-max-for-phones-pods, https://images.priceoye.pk/baseus-simple-2-in1-wireless-charger-18w-max-for-phones-pods-pakistan-priceoye-jyncn-270x270.webp
7,Baseus UFO Desktop Wireless Charger,2099.0,,,, True, https://priceoye.pk/wireless-chargers/baseus/baseus-ufo-desktop-wireless-charger, https://images.priceoye.pk/baseus-ufo-desktop-wireless-charger-pakistan-priceoye-zre3i-270x270.webp
8,MI Wireless Charging Stand (20W),2999.0,,,, True, https://priceoye.pk/wireless-chargers/xiaomi/mi-wireless-charging-stand-20w, https://images.priceoye.pk/mi-wireless-charging-stand-20w-pakistan-priceoye-hympz-270x270.webp
9,Baseus Planet 2 in 1 Wireless Charger (10W),3599.0,,,, True, https://priceoye.pk/wireless-chargers/baseus/baseus-simple-magnetic, https://images.priceoye.pk/baseus-simple-magnetic-pakistan-priceoye-ld9i0-270x270.webp
